,strategy,ann_return_%,ann_vol_%,sharpe,return_vol_ratio,rf_subtracted,sortino,max_drawdown_%,calmar,hit_rate_%,ann_turnover,ann_cost_%,months,years,start,end
0,sixty_forty,10.61,10.32,0.682,1.033,True,1.431,-28.45,0.37,65.6,0.0,0.0,535,44.6,1982-01-31,2026-08-31
1,momentum_no_macro,10.07,9.52,0.679,1.06,True,1.335,-27.99,0.36,66.2,1.82,0.182,535,44.6,1982-01-31,2026-08-31
2,hmm_walkforward,10.08,9.93,0.655,1.02,True,1.415,-23.3,0.43,65.2,0.3,0.03,535,44.6,1982-01-31,2026-08-31
3,rule_cycle,10.16,10.12,0.652,1.01,True,1.495,-32.46,0.31,65.0,1.36,0.136,535,44.6,1982-01-31,2026-08-31
4,rule_quadrant,8.83,9.79,0.546,0.917,True,1.205,-40.97,0.22,63.6,1.52,0.152,535,44.6,1982-01-31,2026-08-31
5,equal_weight,7.78,7.94,0.529,0.986,True,1.218,-32.62,0.24,66.7,0.0,0.0,535,44.6,1982-01-31,2026-08-31
