comparison,rho,S1,S2,n_months,boot_se,memmel_se,ratio,mde_80,mde_50,observed_effect,achieved_power
hmm_walkforward,0.9524,0.655,0.682,535,0.06301020408163266,0.047048973378619595,1.3392471621977262,0.17652845634538347,0.12349773065851873,0.027,0.07128706711998889
rule_cycle,0.8885,0.652,0.682,535,0.08418367346938777,0.07195639772671787,1.1699261793108053,0.23584773519828564,0.1649969680862801,0.031,0.0656742138633365
equal_weight,0.8662,0.529,0.682,535,0.0982142857142857,0.07869246762160259,1.248077340598276,0.2751556910646665,0.1924964627673267,0.153,0.34400594768060655
rule_quadrant,0.8036,0.546,0.682,535,0.12755102040816327,0.09525913728429121,1.3389898758740615,0.35734505333073574,0.24999540619133342,0.136,0.18697302053124945
momentum_no_macro,0.7581,0.679,0.682,535,0.1221938775510204,0.10592312804865611,1.1536090351758708,0.3423365610908448,0.23949559913129742,0.003,0.0500690490871156
